"Name","Component","メーカ","数量","Value","Side","Centre X","Centre Y","Rotation","備考",
"P13","1125S-4P","SHENZHEN NS-TECH",1,,"Top",116,172.264,0,"SEED 110990030",
"P14","1125S-4P","SHENZHEN NS-TECH",1,,"Top",116,162.264,0,"SEED 110990030",
"P101","NOT USED","NOT USED",1,,"Top",26.23,134,90,,
"P101b","NOT USED","NOT USED",,,,,,,,
"P102","XG8S-0331","OMRON",1,,"Top",58.75,168,90,"PH-1x03SG","Useconn Electronics Ltd."
"P102ｂ","XJ8A-0211","OMRON",,,,,,,"MJ-254-6BK","Useconn Electronics Ltd."
"R1","1/4W 1kΩ",,1,"1k","Top",83.296,77.362,315,"リード付きの1/4W抵抗",
"R2","NOT USED","NOT USED",1,"1k","Top",85.046,68.112,315,,
"R3","NOT USED","NOT USED",1,"1k","Top",76.52,191.25,0,,
"R4","NOT USED","NOT USED",,"1k","Top",76.52,188.25,0,,
"RV1","CT-6EP10kΩ(103)","COPAL",1,"10k","Top",27.305,43.815,0,,
"SP1","PKM17EPP-2002-B0","MURATA",1,,"Top",99.25,38.5,90,,
"SW1","B3F-4050","OMRON",1,,"Top",88.8,16.491,180,,
"SW1b","B32-1200 ","OMRON",1,,,,,,"再利用",
"SW2","B3F-4050","OMRON",1,,"Top",109.755,16.491,180,,
"SW2b","B32-1200 ","OMRON",1,,,,,,"再利用",
"SW3","B3F-4050","OMRON",1,,"Top",46.776,37.224,45,,
"SW3b","B32-1200 ","OMRON",1,,,,,,"再利用",
"SW4","B3F-4050","OMRON",1,,"Top",46.86,14.14,225,,
"SW4b","B32-1200 ","OMRON",1,,,,,,"再利用",
"SW5","B3F-4050","OMRON",1,,"Top",35.276,25.724,45,,
"SW5b","B32-1200 ","OMRON",1,,,,,,"再利用",
"SW6","B3F-4050","OMRON",1,,"Top",58.36,25.64,225,,
"SW6b","B32-1200 ","OMRON",1,,,,,,"再利用",
"U1","NOT USED","NOT USED",1,"3.3V","Top",9.75,147.318,0,,
"U2","NOT USED","NOT USED",1,"5V","Top",25,147.318,0,,
"U3","LM60BIZ","TI/BB/NS",1,,"Top",79.375,42.545,180,,
"------------------------------------------------------------------",,,,,,,,,,
,,,,,,,,,,
"J1B,J2Bの「XG4Z-0005」は、4本入りであり、それぞれ1本づつ使用する。",,,,,,,,,,
